Invoice No.,Item Name
19206,"['Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Blueberry Cheese Cake Berliner)', 'Papparoti (Plain)', 'Gluten Free Hazelnut Brownie']"
19207,"['Madagascar Hot Chocolate (350 ML)', 'Spicy Banana Chips 60 Gm', 'Yellow Banana Chips 60 Gm']"
19208,"['Baked Vada Pav', 'Vietnamese (350 ML)']"
19209,['South Indian Filter Kaapi (250 ML)']
19210,['Baked Vada Pav']
19211,"['Hot Chocolate (350 ML)', 'Hot Chocolate (250 ML)']"
19212,"['Hyderabadi Chicken Keema Pav', 'Chicken Calzone', 'Almond Honey Latte (250 ML)']"
19213,['Americano (250 ML)']
19214,"['Vietnamese (350 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
19215,['Cappucino (250 ML)']
19216,"['Rosella Cheesecake Berliner', 'Tartlets (chocolate Tartlet)', 'Tartlets (Kacha Nimbu Tartlet)', 'South Indian Filter Kaapi (250 ML)']"
19217,['Kaapicino (250 ML)']
19218,"['Cappucino (250 ML)', 'Cafe Latte (250 ML)']"
19219,"['Vietnamese (350 ML)', 'Madagascar Chocochip Frappe (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
19220,['Wild Chikmanglur 250 GM']
19221,['ESPRESSO (30 ML)']
19222,"['South Indian Filter Kaapi (150 ML)', 'Origanal South Indian Frappe (350 ML)', 'ALMOND MILK (200 ML)', 'Vietnamese (350 ML)', 'Papparoti (Plain)']"
19223,"['Baked Pav Bhaji', 'Americano (250 ML)']"
19224,['Macchiato 30 Ml']
19225,['Baked Vada Pav']
19226,"['Cafe Mocha (250 ML)', 'Madagascar Chocochip Frappe (350 ML)']"
19227,['Nariyal Irish Cream Frappe (350 Ml)']
19228,"['South Indian Filter Kaapi (150 ML)', 'OAT MILK (200 ML)', 'Berliners (Blueberry Cheese Cake Berliner)']"
19229,['Hazelnut Frappe (350 ML)']
19230,['Classic Frappe (350 Ml)']
